Tab                              0x0009
ccedil                           0x00E7
egrave                           0x00E8
eacute                           0x00E9
ecirc                            0x00EA
euml                             0x00EB
igrave                           0x00EC
iacute                           0x00ED
icirc                            0x00EE
iuml                             0x00EF
eth                              0x00F0
ntilde                           0x00F1
ograve                           0x00F2
oacute                           0x00F3
ocirc                            0x00F4
otilde                           0x00F5
ouml                             0x00F6
divide                           0x00F7
div                              0x00F7
oslash                           0x00F8
ugrave                           0x00F9
uacute                           0x00FA
ucirc                            0x00FB
uuml                             0x00FC
yacute                           0x00FD
thorn                            0x00FE
yuml                             0x00FF
Amacr                            0x0100
amacr                            0x0101
Abreve                           0x0102
abreve                           0x0103
Aogon                            0x0104
aogon                            0x0105
Cacute                           0x0106
cacute                           0x0107
Ccirc                            0x0108
ccirc                            0x0109
Cdot                             0x010A
cdot                             0x010B
Ccaron                           0x010C
ccaron                           0x010D
Dcaron                           0x010E
dcaron                           0x010F
Dstrok                           0x0110
dstrok                           0x0111
Emacr                            0x0112
emacr                            0x0113
Edot                             0x0116
edot                             0x0117
Eogon                            0x0118
eogon                            0x0119
Ecaron                           0x011A
ecaron                           0x011B
Gcirc                            0x011C
gcirc                            0x011D
Gbreve                           0x011E
gbreve                           0x011F
Gdot                             0x0120
gdot                             0x0121
Gcedil                           0x0122
Hcirc                            0x0124
hcirc                            0x0125
Hstrok                           0x0126
hstrok                           0x0127
Itilde                           0x0128
itilde                           0x0129
Imacr                            0x012A
imacr                            0x012B
Iogon                            0x012E
iogon                            0x012F
Idot                             0x0130
imath                            0x0131
inodot                           0x0131
IJlig                            0x0132
ijlig                            0x0133
Jcirc                            0x0134
jcirc                            0x0135
Kcedil                           0x0136
kcedil                           0x0137
kgreen                           0x0138
Lacute                           0x0139
lacute                           0x013A
Lcedil                           0x013B
lcedil                           0x013C
Lcaron                           0x013D
lcaron                           0x013E
Lmidot                           0x013F
lmidot                           0x0140
Lstrok                           0x0141
lstrok                           0x0142
Nacute                           0x0143
nacute                           0x0144
Ncedil                           0x0145
ncedil                           0x0146
Ncaron                           0x0147
ncaron                           0x0148
napos                            0x0149
ENG                              0x014A
eng                              0x014B
Omacr                            0x014C
omacr                            0x014D
Odblac                           0x0150
odblac                           0x0151
OElig                            0x0152
oelig                            0x0153
Racute                           0x0154
racute                           0x0155
Rcedil                           0x0156
rcedil                           0x0157
Rcaron                           0x0158
rcaron                           0x0159
Sacute                           0x015A
sacute                           0x015B
Scirc                            0x015C
scirc                            0x015D
Scedil                           0x015E
scedil                           0x015F
Scaron                           0x0160
scaron                           0x0161
Tcedil                           0x0162
tcedil                           0x0163
Tcaron                           0x0164
tcaron                           0x0165
Tstrok                           0x0166
tstrok                           0x0167
Utilde                           0x0168
utilde                           0x0169
Umacr                            0x016A
umacr                            0x016B
Ubreve                           0x016C
ubreve                           0x016D
Uring                            0x016E
uring                            0x016F
Udblac                           0x0170
udblac                           0x0171
Uogon                            0x0172
uogon                            0x0173
Wcirc                            0x0174
wcirc                            0x0175
Ycirc                            0x0176
ycirc                            0x0177
Yuml                             0x0178
Zacute                           0x0179
zacute                           0x017A
Zdot                             0x017B
zdot                             0x017C
Zcaron                           0x017D
zcaron                           0x017E
fnof                             0x0192
imped                            0x01B5
gacute                           0x01F5
jmath                            0x0237
circ                             0x02C6
caron                            0x02C7
Hacek                            0x02C7
breve                            0x02D8
Breve                            0x02D8
dot                              0x02D9
DiacriticalDot                   0x02D9
ring                             0x02DA
ogon                             0x02DB
tilde                            0x02DC
DiacriticalTilde                 0x02DC
dblac                            0x02DD
DiacriticalDoubleAcute           0x02DD
DownBreve                        0x0311
Alpha                            0x0391
Beta                             0x0392
Gamma                            0x0393
Delta                            0x0394
Epsilon                          0x0395
Zeta                             0x0396
Eta                              0x0397
Theta                            0x0398
Iota                             0x0399
Kappa                            0x039A
Lambda                           0x039B
Mu                               0x039C
Nu                               0x039D
Xi                               0x039E
Omicron                          0x039F
Pi                               0x03A0
Rho                              0x03A1
Sigma                            0x03A3
Tau                              0x03A4
Upsilon                          0x03A5
Phi                              0x03A6
Chi                              0x03A7
Psi                              0x03A8
Omega                            0x03A9
ohm                              0x03A9
alpha                            0x03B1
beta                             0x03B2
gamma                            0x03B3
delta                            0x03B4
epsi                             0x03B5
epsilon                          0x03B5
zeta                             0x03B6
eta                              0x03B7
theta                            0x03B8
iota                             0x03B9
kappa                            0x03BA
lambda                           0x03BB
mu                               0x03BC
nu                               0x03BD
xi                               0x03BE
omicron                          0x03BF
pi                               0x03C0
rho                              0x03C1
sigmav                           0x03C2
varsigma                         0x03C2
sigmaf                           0x03C2
sigma                            0x03C3
tau                              0x03C4
upsi                             0x03C5
upsilon                          0x03C5
phi                              0x03C6
chi                              0x03C7
psi                              0x03C8
omega                            0x03C9
thetav                           0x03D1
vartheta                         0x03D1
thetasym                         0x03D1
Upsi                             0x03D2
upsih                            0x03D2
straightphi                      0x03D5
phiv                             0x03D5
varphi                           0x03D5
piv                              0x03D6
varpi                            0x03D6
Gammad                           0x03DC
gammad                           0x03DD
digamma                          0x03DD
kappav                           0x03F0
varkappa                         0x03F0
rhov                             0x03F1
varrho                           0x03F1
epsiv                            0x03F5
varepsilon                       0x03F5
straightepsilon                  0x03F5
bepsi                            0x03F6
backepsilon                      0x03F6
IOcy                             0x0401
DJcy                             0x0402
GJcy                             0x0403
Jukcy                            0x0404
DScy                             0x0405
Iukcy                            0x0406
YIcy                             0x0407
Jsercy                           0x0408
LJcy                             0x0409
NJcy                             0x040A
TSHcy                            0x040B
KJcy                             0x040C
Ubrcy                            0x040E
DZcy                             0x040F
Acy                              0x0410
Bcy                              0x0411
Vcy                              0x0412
Gcy                              0x0413
Dcy                              0x0414
IEcy                             0x0415
ZHcy                             0x0416
Zcy                              0x0417
Icy                              0x0418
Jcy                              0x0419
Kcy                              0x041A
Lcy                              0x041B
Mcy                              0x041C
Ncy                              0x041D
Ocy                              0x041E
Pcy                              0x041F
Rcy                              0x0420
Scy                              0x0421
Tcy                              0x0422
Ucy                              0x0423
Fcy                              0x0424
KHcy                             0x0425
TScy                             0x0426
CHcy                             0x0427
SHcy                             0x0428
SHCHcy                           0x0429
HARDcy                           0x042A
Ycy                              0x042B
SOFTcy                           0x042C
Ecy                              0x042D
YUcy                             0x042E
YAcy                             0x042F
acy                              0x0430
bcy                              0x0431
vcy                              0x0432
gcy                              0x0433
dcy                              0x0434
iecy                             0x0435
zhcy                             0x0436
zcy                              0x0437
icy                              0x0438
jcy                              0x0439
kcy                              0x043A
lcy                              0x043B
mcy                              0x043C
ncy                              0x043D
ocy                              0x043E
pcy                              0x043F
rcy                              0x0440
scy                              0x0441
tcy                              0x0442
ucy                              0x0443
fcy                              0x0444
khcy                             0x0445
tscy                             0x0446
chcy                             0x0447
shcy                             0x0448
shchcy                           0x0449
hardcy                           0x044A
ycy                              0x044B
softcy                           0x044C
ecy                              0x044D
yucy                             0x044E
yacy                             0x044F
iocy                             0x0451
djcy                             0x0452
gjcy                             0x0453
jukcy                            0x0454
dscy                             0x0455
iukcy                            0x0456
yicy                             0x0457
jsercy                           0x0458
ljcy                             0x0459
njcy                             0x045A
tshcy                            0x045B
kjcy                             0x045C
ubrcy                            0x045E
dzcy                             0x045F
ensp                             0x2002
emsp                             0x2003
emsp13                           0x2004
emsp14                           0x2005
numsp                            0x2007
puncsp                           0x2008
thinsp                           0x2009
ThinSpace                        0x2009
hairsp                           0x200A
VeryThinSpace                    0x200A
ZeroWidthSpace                   0x200B
NegativeVeryThinSpace            0x200B
NegativeThinSpace                0x200B
NegativeMediumSpace              0x200B
NegativeThickSpace               0x200B
zwnj                             0x200C
zwj                              0x200D
lrm                              0x200E
rlm                              0x200F
hyphen                           0x2010
dash                             0x2010
ndash                            0x2013
mdash                            0x2014
horbar                           0x2015
Verbar                           0x2016
Vert                             0x2016
lsquo                            0x2018
OpenCurlyQuote                   0x2018
rsquo                            0x2019
rsquor                           0x2019
CloseCurlyQuote                  0x2019
sbquo                            0x201A
lsquor                           0x201A
ldquo                            0x201C
OpenCurlyDoubleQuote             0x201C
rdquo                            0x201D
rdquor                           0x201D
CloseCurlyDoubleQuote            0x201D
bdquo                            0x201E
ldquor                           0x201E
dagger                           0x2020
Dagger                           0x2021
ddagger                          0x2021
bull                             0x2022
bullet                           0x2022
nldr                             0x2025
hellip                           0x2026
mldr                             0x2026
permil                           0x2030
pertenk                          0x2031
prime                            0x2032
Prime                            0x2033
tprime                           0x2034
bprime                           0x2035
backprime                        0x2035
lsaquo                           0x2039
rsaquo                           0x203A
oline                            0x203E
OverBar                          0x203E
caret                            0x2041
hybull                           0x2043
frasl                            0x2044
bsemi                            0x204F
qprime                           0x2057
MediumSpace                      0x205F
NoBreak                          0x2060
ApplyFunction                    0x2061
af                               0x2061
InvisibleTimes                   0x2062
it                               0x2062
InvisibleComma                   0x2063
ic                               0x2063
euro                             0x20AC
tdot                             0x20DB
TripleDot                        0x20DB
DotDot                           0x20DC
Copf                             0x2102
complexes                        0x2102
incare                           0x2105
gscr                             0x210A
hamilt                           0x210B
HilbertSpace                     0x210B
Hscr                             0x210B
Hfr                              0x210C
Poincareplane                    0x210C
quaternions                      0x210D
Hopf                             0x210D
planckh                          0x210E
planck                           0x210F
hbar                             0x210F
plankv                           0x210F
hslash                           0x210F
Iscr                             0x2110
imagline                         0x2110
image                            0x2111
Im                               0x2111
imagpart                         0x2111
Ifr                              0x2111
Lscr                             0x2112
lagran                           0x2112
Laplacetrf                       0x2112
ell                              0x2113
Nopf                             0x2115
naturals                         0x2115
numero                           0x2116
copysr                           0x2117
weierp                           0x2118
wp                               0x2118
Popf                             0x2119
primes                           0x2119
rationals                        0x211A
Qopf                             0x211A
Rscr                             0x211B
realine                          0x211B
real                             0x211C
Re                               0x211C
realpart                         0x211C
Rfr                              0x211C
reals                            0x211D
Ropf                             0x211D
rx                               0x211E
trade                            0x2122
TRADE                            0x2122
integers                         0x2124
Zopf                             0x2124
mho                              0x2127
Zfr                              0x2128
zeetrf                           0x2128
iiota                            0x2129
bernou                           0x212C
Bernoullis                       0x212C
Bscr                             0x212C
Cfr                              0x212D
Cayleys                          0x212D
escr                             0x212F
Escr                             0x2130
expectation                      0x2130
Fscr                             0x2131
Fouriertrf                       0x2131
phmmat                           0x2133
Mellintrf                        0x2133
Mscr                             0x2133
order                            0x2134
orderof                          0x2134
oscr                             0x2134
alefsym                          0x2135
aleph                            0x2135
beth                             0x2136
gimel                            0x2137
daleth                           0x2138
CapitalDifferentialD             0x2145
DD                               0x2145
DifferentialD                    0x2146
dd                               0x2146
ExponentialE                     0x2147
exponentiale                     0x2147
ee                               0x2147
ImaginaryI                       0x2148
ii                               0x2148
frac13                           0x2153
frac23                           0x2154
frac15                           0x2155
frac25                           0x2156
frac35                           0x2157
frac45                           0x2158
frac16                           0x2159
frac56                           0x215A
frac18                           0x215B
frac38                           0x215C
frac58                           0x215D
frac78                           0x215E
larr                             0x2190
leftarrow                        0x2190
LeftArrow                        0x2190
slarr                            0x2190
ShortLeftArrow                   0x2190
uarr                             0x2191
uparrow                          0x2191
UpArrow                          0x2191
ShortUpArrow                     0x2191
rarr                             0x2192
rightarrow                       0x2192
RightArrow                       0x2192
srarr                            0x2192
ShortRightArrow                  0x2192
darr                             0x2193
downarrow                        0x2193
DownArrow                        0x2193
ShortDownArrow                   0x2193
harr                             0x2194
leftrightarrow                   0x2194
LeftRightArrow                   0x2194
varr                             0x2195
updownarrow                      0x2195
UpDownArrow                      0x2195
nwarr                            0x2196
UpperLeftArrow                   0x2196
nwarrow                          0x2196
nearr                            0x2197
UpperRightArrow                  0x2197
nearrow                          0x2197
searr                            0x2198
searrow                          0x2198
LowerRightArrow                  0x2198
swarr                            0x2199
swarrow                          0x2199
LowerLeftArrow                   0x2199
nlarr                            0x219A
nleftarrow                       0x219A
nrarr                            0x219B
nrightarrow                      0x219B
rarrw                            0x219D
rightsquigarrow                  0x219D
Larr                             0x219E
twoheadleftarrow                 0x219E
Uarr                             0x219F
Rarr                             0x21A0
twoheadrightarrow                0x21A0
Darr                             0x21A1
larrtl                           0x21A2
leftarrowtail                    0x21A2
rarrtl                           0x21A3
rightarrowtail                   0x21A3
LeftTeeArrow                     0x21A4
mapstoleft                       0x21A4
UpTeeArrow                       0x21A5
mapstoup                         0x21A5
map                              0x21A6
RightTeeArrow                    0x21A6
mapsto                           0x21A6
DownTeeArrow                     0x21A7
mapstodown                       0x21A7
larrhk                           0x21A9
hookleftarrow                    0x21A9
rarrhk                           0x21AA
hookrightarrow                   0x21AA
larrlp                           0x21AB
looparrowleft                    0x21AB
rarrlp                           0x21AC
looparrowright                   0x21AC
harrw                            0x21AD
leftrightsquigarrow              0x21AD
nharr                            0x21AE
nleftrightarrow                  0x21AE
lsh                              0x21B0
Lsh                              0x21B0
rsh                              0x21B1
Rsh                              0x21B1
ldsh                             0x21B2
rdsh                             0x21B3
crarr                            0x21B5
cularr                           0x21B6
curvearrowleft                   0x21B6
curarr                           0x21B7
curvearrowright                  0x21B7
olarr                            0x21BA
circlearrowleft                  0x21BA
orarr                            0x21BB
circlearrowright                 0x21BB
lharu                            0x21BC
LeftVector                       0x21BC
leftharpoonup                    0x21BC
lhard                            0x21BD
leftharpoondown                  0x21BD
DownLeftVector                   0x21BD
uharr                            0x21BE
upharpoonright                   0x21BE
RightUpVector                    0x21BE
uharl                            0x21BF
upharpoonleft                    0x21BF
LeftUpVector                     0x21BF
rharu                            0x21C0
RightVector                      0x21C0
rightharpoonup                   0x21C0
rhard                            0x21C1
rightharpoondown                 0x21C1
DownRightVector                  0x21C1
dharr                            0x21C2
RightDownVector                  0x21C2
downharpoonright                 0x21C2
dharl                            0x21C3
LeftDownVector                   0x21C3
downharpoonleft                  0x21C3
rlarr                            0x21C4
rightleftarrows                  0x21C4
RightArrowLeftArrow              0x21C4
udarr                            0x21C5
UpArrowDownArrow                 0x21C5
lrarr                            0x21C6
leftrightarrows                  0x21C6
LeftArrowRightArrow              0x21C6
llarr                            0x21C7
leftleftarrows                   0x21C7
uuarr                            0x21C8
upuparrows                       0x21C8
rrarr                            0x21C9
rightrightarrows                 0x21C9
ddarr                            0x21CA
downdownarrows                   0x21CA
lrhar                            0x21CB
ReverseEquilibrium               0x21CB
leftrightharpoons                0x21CB
rlhar                            0x21CC
rightleftharpoons                0x21CC
Equilibrium                      0x21CC
nlArr                            0x21CD
nLeftarrow                       0x21CD
nhArr                            0x21CE
nLeftrightarrow                  0x21CE
nrArr                            0x21CF
nRightarrow                      0x21CF
lArr                             0x21D0
Leftarrow                        0x21D0
DoubleLeftArrow                  0x21D0
uArr                             0x21D1
Uparrow                          0x21D1
DoubleUpArrow                    0x21D1
rArr                             0x21D2
DoubleRightArrow                 0x21D2
Rightarrow                       0x21D2
DoubleRightArrow                 0x21D2
Implies                          0x21D2
DoubleRightArrow                 0x21D2
dArr                             0x21D3
Downarrow                        0x21D3
DoubleDownArrow                  0x21D3
hArr                             0x21D4
Leftrightarrow                   0x21D4
DoubleLeftRightArrow             0x21D4
iff                              0x21D4
vArr                             0x21D5
Updownarrow                      0x21D5
DoubleUpDownArrow                0x21D5
nwArr                            0x21D6
neArr                            0x21D7
seArr                            0x21D8
swArr                            0x21D9
lAarr                            0x21DA
Lleftarrow                       0x21DA
rAarr                            0x21DB
Rrightarrow                      0x21DB
zigrarr                          0x21DD
larrb                            0x21E4
LeftArrowBar                     0x21E4
rarrb                            0x21E5
RightArrowBar                    0x21E5
duarr                            0x21F5
DownArrowUpArrow                 0x21F5
loarr                            0x21FD
roarr                            0x21FE
hoarr                            0x21FF
forall                           0x2200
ForAll                           0x2200
comp                             0x2201
complement                       0x2201
part                             0x2202
PartialD                         0x2202
exist                            0x2203
Exists                           0x2203
nexist                           0x2204
NotExists                        0x2204
nexists                          0x2204
empty                            0x2205
emptyset                         0x2205
emptyv                           0x2205
varnothing                       0x2205
nabla                            0x2207
Del                              0x2207
isin                             0x2208
isinv                            0x2208
Element                          0x2208
in                               0x2208
notin                            0x2209
NotElement                       0x2209
notinva                          0x2209
niv                              0x220B
ReverseElement                   0x220B
ni                               0x220B
SuchThat                         0x220B
notni                            0x220C
notniva                          0x220C
NotReverseElement                0x220C
prod                             0x220F
Product                          0x220F
coprod                           0x2210
Coproduct                        0x2210
sum                              0x2211
Sum                              0x2211
minus                            0x2212
mnplus                           0x2213
mp                               0x2213
MinusPlus                        0x2213
plusdo                           0x2214
dotplus                          0x2214
setmn                            0x2216
setminus                         0x2216
Backslash                        0x2216
ssetmn                           0x2216
smallsetminus                    0x2216
lowast                           0x2217
compfn                           0x2218
SmallCircle                      0x2218
radic                            0x221A
Sqrt                             0x221A
prop                             0x221D
propto                           0x221D
Proportional                     0x221D
vprop                            0x221D
varpropto                        0x221D
infin                            0x221E
angrt                            0x221F
ang                              0x2220
angle                            0x2220
angmsd                           0x2221
measuredangle                    0x2221
angsph                           0x2222
mid                              0x2223
VerticalBar                      0x2223
smid                             0x2223
shortmid                         0x2223
nmid                             0x2224
NotVerticalBar                   0x2224
nsmid                            0x2224
nshortmid                        0x2224
par                              0x2225
parallel                         0x2225
DoubleVerticalBar                0x2225
spar                             0x2225
shortparallel                    0x2225
npar                             0x2226
nparallel                        0x2226
NotDoubleVerticalBar             0x2226
nspar                            0x2226
nshortparallel                   0x2226
and                              0x2227
wedge                            0x2227
or                               0x2228
vee                              0x2228
cap                              0x2229
cup                              0x222A
int                              0x222B
Integral                         0x222B
Int                              0x222C
tint                             0x222D
iiint                            0x222D
conint                           0x222E
oint                             0x222E
ContourIntegral                  0x222E
Conint                           0x222F
DoubleContourIntegral            0x222F
Cconint                          0x2230
cwint                            0x2231
cwconint                         0x2232
ClockwiseContourIntegral         0x2232
awconint                         0x2233
CounterClockwiseContourIntegral  0x2233
there4                           0x2234
therefore                        0x2234
Therefore                        0x2234
becaus                           0x2235
because                          0x2235
Because                          0x2235
ratio                            0x2236
Colon                            0x2237
Proportion                       0x2237
minusd                           0x2238
dotminus                         0x2238
mDDot                            0x223A
homtht                           0x223B
sim                              0x223C
Tilde                            0x223C
thksim                           0x223C
thicksim                         0x223C
bsim                             0x223D
backsim                          0x223D
ac                               0x223E
mstpos                           0x223E
acd                              0x223F
wreath                           0x2240
VerticalTilde                    0x2240
wr                               0x2240
nsim                             0x2241
NotTilde                         0x2241
esim                             0x2242
EqualTilde                       0x2242
eqsim                            0x2242
sime                             0x2243
TildeEqual                       0x2243
simeq                            0x2243
nsime                            0x2244
nsimeq                           0x2244
NotTildeEqual                    0x2244
cong                             0x2245
TildeFullEqual                   0x2245
simne                            0x2246
ncong                            0x2247
NotTildeFullEqual                0x2247
asymp                            0x2248
ap                               0x2248
TildeTilde                       0x2248
approx                           0x2248
thkap                            0x2248
thickapprox                      0x2248
nap                              0x2249
NotTildeTilde                    0x2249
napprox                          0x2249
ape                              0x224A
approxeq                         0x224A
apid                             0x224B
bcong                            0x224C
backcong                         0x224C
asympeq                          0x224D
CupCap                           0x224D
bump                             0x224E
HumpDownHump                     0x224E
Bumpeq                           0x224E
bumpe                            0x224F
HumpEqual                        0x224F
bumpeq                           0x224F
esdot                            0x2250
DotEqual                         0x2250
doteq                            0x2250
eDot                             0x2251
doteqdot                         0x2251
efDot                            0x2252
fallingdotseq                    0x2252
erDot                            0x2253
risingdotseq                     0x2253
colone                           0x2254
coloneq                          0x2254
Assign                           0x2254
ecolon                           0x2255
eqcolon                          0x2255
ecir                             0x2256
eqcirc                           0x2256
cire                             0x2257
circeq                           0x2257
wedgeq                           0x2259
veeeq                            0x225A
trie                             0x225C
triangleq                        0x225C
equest                           0x225F
questeq                          0x225F
ne                               0x2260
NotEqual                         0x2260
equiv                            0x2261
Congruent                        0x2261
nequiv                           0x2262
NotCongruent                     0x2262
le                               0x2264
leq                              0x2264
ge                               0x2265
GreaterEqual                     0x2265
geq                              0x2265
lE                               0x2266
LessFullEqual                    0x2266
leqq                             0x2266
gE                               0x2267
GreaterFullEqual                 0x2267
geqq                             0x2267
lnE                              0x2268
lneqq                            0x2268
gnE                              0x2269
gneqq                            0x2269
Lt                               0x226A
NestedLessLess                   0x226A
ll                               0x226A
Gt                               0x226B
NestedGreaterGreater             0x226B
gg                               0x226B
twixt                            0x226C
between                          0x226C
NotCupCap                        0x226D
nlt                              0x226E
NotLess                          0x226E
nless                            0x226E
ngt                              0x226F
NotGreater                       0x226F
ngtr                             0x226F
nle                              0x2270
NotLessEqual                     0x2270
nleq                             0x2270
nge                              0x2271
NotGreaterEqual                  0x2271
ngeq                             0x2271
lsim                             0x2272
LessTilde                        0x2272
lesssim                          0x2272
gsim                             0x2273
gtrsim                           0x2273
GreaterTilde                     0x2273
nlsim                            0x2274
NotLessTilde                     0x2274
ngsim                            0x2275
NotGreaterTilde                  0x2275
lg                               0x2276
lessgtr                          0x2276
LessGreater                      0x2276
gl                               0x2277
gtrless                          0x2277
GreaterLess                      0x2277
ntlg                             0x2278
NotLessGreater                   0x2278
ntgl                             0x2279
NotGreaterLess                   0x2279
pr                               0x227A
Precedes                         0x227A
prec                             0x227A
sc                               0x227B
Succeeds                         0x227B
succ                             0x227B
prcue                            0x227C
PrecedesSlantEqual               0x227C
preccurlyeq                      0x227C
sccue                            0x227D
SucceedsSlantEqual               0x227D
succcurlyeq                      0x227D
prsim                            0x227E
precsim                          0x227E
PrecedesTilde                    0x227E
scsim                            0x227F
succsim                          0x227F
SucceedsTilde                    0x227F
npr                              0x2280
nprec                            0x2280
NotPrecedes                      0x2280
nsc                              0x2281
nsucc                            0x2281
NotSucceeds                      0x2281
sub                              0x2282
subset                           0x2282
sup                              0x2283
supset                           0x2283
Superset                         0x2283
nsub                             0x2284
nsup                             0x2285
sube                             0x2286
SubsetEqual                      0x2286
subseteq                         0x2286
supe                             0x2287
supseteq                         0x2287
SupersetEqual                    0x2287
nsube                            0x2288
nsubseteq                        0x2288
NotSubsetEqual                   0x2288
nsupe                            0x2289
nsupseteq                        0x2289
NotSupersetEqual                 0x2289
subne                            0x228A
subsetneq                        0x228A
supne                            0x228B
supsetneq                        0x228B
cupdot                           0x228D
uplus                            0x228E
UnionPlus                        0x228E
sqsub                            0x228F
SquareSubset                     0x228F
sqsubset                         0x228F
sqsup                            0x2290
SquareSuperset                   0x2290
sqsupset                         0x2290
sqsube                           0x2291
SquareSubsetEqual                0x2291
sqsubseteq                       0x2291
sqsupe                           0x2292
SquareSupersetEqual              0x2292
sqsupseteq                       0x2292
sqcap                            0x2293
SquareIntersection               0x2293
sqcup                            0x2294
SquareUnion                      0x2294
oplus                            0x2295
CirclePlus                       0x2295
ominus                           0x2296
CircleMinus                      0x2296
otimes                           0x2297
CircleTimes                      0x2297
osol                             0x2298
odot                             0x2299
CircleDot                        0x2299
ocir                             0x229A
circledcirc                      0x229A
oast                             0x229B
circledast                       0x229B
odash                            0x229D
circleddash                      0x229D
plusb                            0x229E
boxplus                          0x229E
minusb                           0x229F
boxminus                         0x229F
timesb                           0x22A0
boxtimes                         0x22A0
sdotb                            0x22A1
dotsquare                        0x22A1
vdash                            0x22A2
RightTee                         0x22A2
dashv                            0x22A3
LeftTee                          0x22A3
top                              0x22A4
DownTee                          0x22A4
bottom                           0x22A5
bot                              0x22A5
perp                             0x22A5
UpTee                            0x22A5
models                           0x22A7
vDash                            0x22A8
DoubleRightTee                   0x22A8
Vdash                            0x22A9
Vvdash                           0x22AA
VDash                            0x22AB
nvdash                           0x22AC
nvDash                           0x22AD
nVdash                           0x22AE
nVDash                           0x22AF
prurel                           0x22B0
vltri                            0x22B2
vartriangleleft                  0x22B2
LeftTriangle                     0x22B2
vrtri                            0x22B3
vartriangleright                 0x22B3
RightTriangle                    0x22B3
ltrie                            0x22B4
trianglelefteq                   0x22B4
LeftTriangleEqual                0x22B4
rtrie                            0x22B5
trianglerighteq                  0x22B5
RightTriangleEqual               0x22B5
origof                           0x22B6
imof                             0x22B7
mumap                            0x22B8
multimap                         0x22B8
hercon                           0x22B9
intcal                           0x22BA
intercal                         0x22BA
veebar                           0x22BB
barvee                           0x22BD
angrtvb                          0x22BE
lrtri                            0x22BF
xwedge                           0x22C0
Wedge                            0x22C0
bigwedge                         0x22C0
xvee                             0x22C1
Vee                              0x22C1
bigvee                           0x22C1
xcap                             0x22C2
Intersection                     0x22C2
bigcap                           0x22C2
xcup                             0x22C3
Union                            0x22C3
bigcup                           0x22C3
diam                             0x22C4
diamond                          0x22C4
Diamond                          0x22C4
sdot                             0x22C5
sstarf                           0x22C6
Star                             0x22C6
divonx                           0x22C7
divideontimes                    0x22C7
bowtie                           0x22C8
ltimes                           0x22C9
rtimes                           0x22CA
lthree                           0x22CB
leftthreetimes                   0x22CB
rthree                           0x22CC
rightthreetimes                  0x22CC
bsime                            0x22CD
backsimeq                        0x22CD
cuvee                            0x22CE
curlyvee                         0x22CE
cuwed                            0x22CF
curlywedge                       0x22CF
Sub                              0x22D0
Subset                           0x22D0
